    f         Sigma
11428158158.16 0.00025309
11463183183.18 0.00025600
11498208208.21 0.00025955
11533233233.23 0.00026375
11568258258.26 0.00026856
11603283283.28 0.00027398
11638308308.31 0.00027999
11673333333.33 0.00028657
11708358358.36 0.00029369
11743383383.38 0.00030135
11778408408.41 0.00030951
11813433433.43 0.00031815
11848458458.46 0.00032725
11883483483.48 0.00033678
11918508508.51 0.00034673
11953533533.53 0.00035705
11988558558.56 0.00036774
12023583583.58 0.00037875
12058608608.61 0.00039006
12093633633.63 0.00040165
12128658658.66 0.00041348
12163683683.68 0.00042553
12198708708.71 0.00043776
12233733733.73 0.00045016
12268758758.76 0.00046268
12303783783.78 0.00047530
12338808808.81 0.00048799
12373833833.83 0.00050072
12408858858.86 0.00051347
12443883883.88 0.00052620
12478908908.91 0.00053888
12513933933.93 0.00055149
12548958958.96 0.00056399
12583983983.98 0.00057637
12619009009.01 0.00058859
12654034034.03 0.00060063
12689059059.06 0.00061245
12724084084.08 0.00062404
12759109109.11 0.00063537
12794134134.13 0.00064642
12829159159.16 0.00065716
12864184184.18 0.00066757
12899209209.21 0.00067762
12934234234.23 0.00068730
12969259259.26 0.00069659
13004284284.28 0.00070546
13039309309.31 0.00071391
13074334334.33 0.00072190
13109359359.36 0.00072943
13144384384.38 0.00073648
13179409409.41 0.00074304
13214434434.43 0.00074909
13249459459.46 0.00075462
13284484484.48 0.00075963
13319509509.51 0.00076409
13354534534.53 0.00076801
13389559559.56 0.00077138
13424584584.58 0.00077419
13459609609.61 0.00077643
13494634634.63 0.00077811
13529659659.66 0.00077922
13564684684.68 0.00077976
13599709709.71 0.00077974
13634734734.73 0.00077915
13669759759.76 0.00077800
13704784784.78 0.00077629
13739809809.81 0.00077403
13774834834.83 0.00077122
13809859859.86 0.00076788
13844884884.88 0.00076402
13879909909.91 0.00075963
13914934934.93 0.00075475
13949959959.96 0.00074937
13984984984.98 0.00074352
14020010010.01 0.00073720
14055035035.04 0.00073044
14090060060.06 0.00072326
14125085085.09 0.00071566
14160110110.11 0.00070767
14195135135.14 0.00069931
14230160160.16 0.00069061
14265185185.19 0.00068157
14300210210.21 0.00067223
14335235235.24 0.00066260
14370260260.26 0.00065271
14405285285.29 0.00064259
14440310310.31 0.00063225
14475335335.34 0.00062173
14510360360.36 0.00061104
14545385385.39 0.00060021
14580410410.41 0.00058928
14615435435.44 0.00057825
14650460460.46 0.00056716
14685485485.49 0.00055604
14720510510.51 0.00054491
14755535535.54 0.00053379
14790560560.56 0.00052271
14825585585.59 0.00051170
14860610610.61 0.00050078
14895635635.64 0.00048997
14930660660.66 0.00047930
14965685685.69 0.00046879
15000710710.71 0.00045846
15035735735.74 0.00044834
15070760760.76 0.00043845
15105785785.79 0.00042881
15140810810.81 0.00041944
15175835835.84 0.00041036
15210860860.86 0.00040159
15245885885.89 0.00039314
15280910910.91 0.00038504
15315935935.94 0.00037729
15350960960.96 0.00036992
15385985985.99 0.00036294
15421011011.01 0.00035636
15456036036.04 0.00035020
15491061061.06 0.00034446
15526086086.09 0.00033916
15561111111.11 0.00033430
